YEAR,FACILITY NAME,STREET ADDRESS,CITY,COUNTY,STATE,ZIP,addresses,LATITUDE,LONGITUDE,FEDERAL FACILITY,INDUSTRY SECTOR,CHEMICAL,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,METAL,METAL CATEGORY,CARCINOGEN,PROD_RATIO_OR_ ACTIVITY,PARENT CO NAME
2018,SCHILLER STATION,400 GOSLING RD,PORTSMOUTH,ROCKINGHAM,NH,03801,400 GOSLING RD PORTSMOUTH NH 3801,43.09726,-70.783801,NO,Electric Utilities,MANGANESE  and MANGANESE COMPOUNDS,YES,TRI,YES,1,NO,PRODUCTION,GSP SCHILLER LLC
2018,GE CO,9 INDUSTRIAL PARK DR,HOOKSETT,MERRIMACK,NH,03106,9 INDUSTRIAL PARK DR HOOKSETT NH 3106,43.061504,-71.447873,NO,Transportation Equipment,NICKEL,YES,TRI,YES,1,YES,PRODUCTION,GENERAL ELECTRIC CO (GE CO)
2018,LONZA BIOLOGICS INC,101 INTERNATIONAL DR,PORTSMOUTH,ROCKINGHAM,NH,03801,101 INTERNATIONAL DR PORTSMOUTH NH 3801,43.082587,-70.803924,NO,Chemicals,ETHYLENE GLYCOL,YES,TRI,NO,0,NO,PRODUCTION,NA
2018,PSI MOLDED PLASTICS FORMERLY KNOWN AS GI PLASTEK,5 WICKERS DR,WOLFEBORO,CARROLL,NH,03894,5 WICKERS DR WOLFEBORO NH 3894,43.60513,-71.212805,NO,Plastics and Rubber,PROPYLENE,NO,TRI,NO,0,NO,,PSI MOLDED PLASTICS NEW HAMPSHIRE INC
2018,NEW NGC INC D/B/A NATIONAL GYPSUM CO,9 MICHAEL J SUCCI DRIVE,PORTSMOUTH,ROCKINGHAM,NH,03802,9 MICHAEL J SUCCI DRIVE PORTSMOUTH NH 3802,43.088056,-70.767222,NO,Nonmetallic Mineral Product,LEAD COMPOUNDS,YES,PBT,YES,1,NO,PRODUCTION,NEW NGC INC
2018,NEW ENGLAND WIRE TECHNOLOGIES,130 N MAIN ST,LISBON,GRAFTON,NH,03585,130 N MAIN ST LISBON NH 3585,44.21562,-71.9062,NO,Primary Metals,COPPER,NO,TRI,YES,1,NO,PRODUCTION,MJM HOLDINGS INC
2018,CHEMTAN CO INC,57 HAMPTON RD,EXETER,ROCKINGHAM,NH,03833,57 HAMPTON RD EXETER NH 3833,42.97055,-70.89849,NO,Chemical Wholesalers,FORMIC ACID,NO,TRI,NO,0,NO,ACTIVITY,NA
2018,SCHILLER STATION,400 GOSLING RD,PORTSMOUTH,ROCKINGHAM,NH,03801,400 GOSLING RD PORTSMOUTH NH 3801,43.09726,-70.783801,NO,Electric Utilities,"BENZO(G,H,I)PERYLENE",YES,PBT,NO,0,NO,PRODUCTION,GSP SCHILLER LLC
2018,HITCHINER MANUFACTURING CO INC (AUTOMATED CASTING FACILITY),1 SCARBOROUGH LN,MILFORD,HILLSBOROUGH,NH,03055,1 SCARBOROUGH LN MILFORD NH 3055,42.83577,-71.70675,NO,Primary Metals,COBALT,YES,TRI,YES,1,YES,PRODUCTION,HITCHINER MANUFACTURING CO INC
2018,SIG SAUER INC,72 PEASE BLVD,NEWINGTON,ROCKINGHAM,NH,03801,72 PEASE BLVD NEWINGTON NH 3801,43.087945,-70.811239,NO,Fabricated Metals,CHROMIUM,YES,TRI,YES,1,NO,PRODUCTION,NA
2018,STURM RUGER & CO INC,411 SUNAPEE ST,NEWPORT,SULLIVAN,NH,03773,411 SUNAPEE ST NEWPORT NH 3773,43.379828,-72.152415,NO,Fabricated Metals,CHROMIUM,YES,TRI,YES,1,NO,PRODUCTION,STURM RUGER & CO INC
2018,RENEWABLE FUELS BY PETERSON LLC,35 BUSINESS PARK RD,NORTH HAVERHILL,GRAFTON,NH,03774,35 BUSINESS PARK RD NORTH HAVERHILL NH 3774,44.077037,-72.004727,NO,Chemicals,METHANOL,YES,TRI,NO,0,NO,PRODUCTION,PETERSON'S OIL SERVICE INC.
2018,AAVID THERMALLOY LLC,1 AAVID CIR,LACONIA,BELKNAP,NH,03246,1 AAVID CIR LACONIA NH 3246,43.54687,-71.491314,NO,Computers and Electronic Products,COPPER,NO,TRI,YES,1,NO,PRODUCTION,LTI HOLDINGS INC
2018,AMPHENOL APC INC,91 NORTHEASTERN BLVD,NASHUA,HILLSBOROUGH,NH,03062,91 NORTHEASTERN BLVD NASHUA NH 3062,42.738005,-71.489815,NO,Computers and Electronic Products,FORMALDEHYDE,YES,TRI,NO,0,YES,PRODUCTION,AMPHENOL CORP
2018,RAPID SHEET METAL LLC,104 PERIMETER RD,NASHUA,HILLSBOROUGH,NH,03063,104 PERIMETER RD NASHUA NH 3063,42.78039,-71.51966,NO,Fabricated Metals,ALUMINUM (FUME OR DUST),NO,TRI,NO,4,NO,PRODUCTION,NA
2018,WATTS REGULATOR CO DBA WEBSTER VALVE,583 S MAIN ST,FRANKLIN,MERRIMACK,NH,03235,583 S MAIN ST FRANKLIN NH 3235,43.42499,-71.65416,NO,Fabricated Metals,,YES,TRI,YES,1,NO,ACTIVITY,WATTS WATER TECHNOLOGIES
2018,SCHILLER STATION,400 GOSLING RD,PORTSMOUTH,ROCKINGHAM,NH,03801,400 GOSLING RD PORTSMOUTH NH 3801,43.09726,-70.783801,NO,Electric Utilities,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,TRI,NO,0,NO,PRODUCTION,GSP SCHILLER LLC
2018,SCHILLER STATION,400 GOSLING RD,PORTSMOUTH,ROCKINGHAM,NH,03801,400 GOSLING RD PORTSMOUTH NH 3801,43.09726,-70.783801,NO,Electric Utilities,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,TRI,NO,0,NO,PRODUCTION,GSP SCHILLER LLC
